"userid","creditcard"
350,91
397,254
485,262
354,56
65,149
347,192
162,8
251,59
172,163
45,66
495,278
163,81
216,17
335,270
167,237
430,259
112,9
47,169
5,253
169,112
80,106
279,289
61,186
16,16
120,136
147,41
53,44
463,81
278,243
476,169
81,81
212,179
30,262
177,197
328,287
187,167
231,126
124,42
343,26
450,169
418,282
256,91
418,203
253,254
200,142
481,280
117,190
342,241
150,68
113,137
195,210
290,107
345,14
193,5
312,126
400,111
474,50
230,44
290,258
250,78
14,231
91,158
143,260
284,281
260,148
40,49
389,120
125,30
415,186
164,175
106,277
216,70
239,262
459,226
253,245
347,174
222,183
474,84
187,128
365,65
396,93
107,82
136,151
194,82
171,25
296,154
464,216
59,70
81,105
157,198
299,51
438,138
261,109
122,169
378,122
255,141
40,30
123,125
231,207
372,173
